image_id,bottle_type,split
ad0f5a12-93fe-4ebb-9aae-ef12ef5246f8_000000000001.png,"0,33L Vichy brown crown cap",train
1d1ee6a4-5b1b-4280-a254-29b4cb5c1267_000000000002.png,"0,5L Euro brown crown cap",train
3710d5e0-832e-461b-8922-4b83308ae692_000000000003.png,"0,33L Vichy brown crown cap",train
9a4a0c6c-4e26-4aba-8d59-f6dfe609fb21_000000000004.png,"0,5L NRW brown crown cap",train
799ec8dc-68a5-4690-90ba-7708d016e681_000000000005.png,"0,5L NRW brown crown cap",train
0a70ac55-b733-40ff-bd4d-9a27b5b8f17c_000000000006.png,"0,5L Euro brown crown cap",train
3f6fd96c-84db-4bc6-9b4a-0f7034bfa338_000000000007.png,"0,5L Euro brown crown cap",train
3816e24c-fc66-44aa-91ba-954a1a37d082_000000000008.png,"0,5L NRW brown crown cap",train
9f45d60d-85e0-42a4-9c49-a1eb80c8a5a9_000000000009.png,"0,5L NRW brown crown cap",train
66d23b5e-cf58-438e-97ce-5cb5624b2fc9_000000000010.png,"0,33L Vichy brown crown cap",train
51b6222a-f9cc-414b-ae33-4f214a82353d_000000000011.png,"0,5L NRW brown crown cap",train
ca9ec6c8-8f94-44ba-a49a-d7b065b3fe38_000000000012.png,"0,5L NRW brown crown cap",train
a0b0047c-04a0-48cd-af41-f4b50756c4d9_000000000013.png,"0,5L Euro brown crown cap",train
07eb9c49-bf3e-486a-92b3-9ebeef50f006_000000000014.png,"0,5L NRW brown crown cap",train
2c339488-949b-46d8-844e-bd6191f3fab6_000000000015.png,"0,5L NRW brown crown cap",train
bc18de21-085f-4a29-bb9d-49addc2c91a3_000000000016.png,"0,5L NRW brown crown cap",train
da6cb135-a953-4deb-ad45-de35255cd30a_000000000017.png,"0,5L NRW brown crown cap",train
47ae5db0-bb4d-4e42-b4cd-73777c4018ab_000000000018.png,"0,5L NRW brown crown cap",train
f093f058-bd61-4ac2-816a-10d952453e19_000000000019.png,"0,5L NRW brown crown cap",train
a9b55d84-c761-4957-bcc3-956ecab0fa64_000000000020.png,"0,5L Euro brown crown cap",train
318c6988-02af-4f55-9a33-47348ce6e2eb_000000000021.png,"0,33L Vichy brown crown cap",train
b10ce6cd-b547-4ced-bb89-ac3eb1997727_000000000022.png,"0,33L Vichy brown crown cap",train
1f0d333e-f140-4aad-825e-550906ea37da_000000000023.png,"0,5L NRW brown crown cap",train
ff02d7ff-4c4b-43ff-9ed3-0ac9b3e55e21_000000000024.png,"0,5L NRW brown crown cap",train
2cfdb9d5-3f4a-4e07-87a6-d5b447aaf0f8_000000000025.png,"0,5L NRW brown crown cap",train
eb3aa035-b3e5-4886-bce0-61ef29a795ae_000000000026.png,"0,5L NRW brown crown cap",train
ff07aeab-5f71-4fa5-9fd7-598b831664de_000000000027.png,"0,5L Euro brown crown cap",train
b5579833-f092-4dc0-afd3-cf5a20be8583_000000000028.png,"0,5L NRW brown crown cap",train
8589492c-0aaa-402f-bae5-ff53da66c404_000000000029.png,"0,5L NRW brown crown cap",train
831094ac-7e99-4fa8-9bf2-a380909d3a56_000000000030.png,"0,5L Euro brown crown cap",train
